incentive,.variable,.value,.lower,.upper,.width,.point,.interval,moderator,moderator.level
1,r.sq,0.4312586587481615,1.58053844928923e-11,0.43125910791202204,0.5,median,hdci,Class_ConsentRate,class
2,r.sq,0.28263239569195087,2.8257387941424575e-10,0.2826347524097777,0.5,median,hdci,Class_ConsentRate,class
1,r.sq,0.4312586587481615,1.58053844928923e-11,0.9288991194178055,0.95,median,hdci,Class_ConsentRate,class
2,r.sq,0.28263239569195087,2.8257387941424575e-10,0.837163652175653,0.95,median,hdci,Class_ConsentRate,class
1,r.sq,0.16684641967809624,5.509027963204557e-15,0.1668468161252574,0.5,median,hdci,Class_Discipline,class
2,r.sq,0.17449569477110832,7.896373756205336e-12,0.17449830235351774,0.5,median,hdci,Class_Discipline,class
1,r.sq,0.16684641967809624,5.509027963204557e-15,0.8300994560960686,0.95,median,hdci,Class_Discipline,class
2,r.sq,0.17449569477110832,7.896373756205336e-12,0.7211768905457154,0.95,median,hdci,Class_Discipline,class
1,r.sq,0.4672144792204431,0.019914170676658,0.48576630494500656,0.5,median,hdci,Class_Format,class
2,r.sq,0.5624818585174978,0.5250447964745826,0.9559302116417081,0.5,median,hdci,Class_Format,class
1,r.sq,0.4672144792204431,0.05000025620706114,0.9999751537325021,0.95,median,hdci,Class_Format,class
2,r.sq,0.5624818585174978,0.06982757626709658,0.9999812297930187,0.95,median,hdci,Class_Format,class
1,r.sq,0.3832507898218065,0.0012987299607448214,0.3842903437627732,0.5,median,hdci,Class_Level,class
2,r.sq,0.5280018989412434,0.34432795477832684,0.7688882823593933,0.5,median,hdci,Class_Level,class
1,r.sq,0.3832507898218065,4.882813586468118e-7,0.916069621674308,0.95,median,hdci,Class_Level,class
2,r.sq,0.5280018989412434,0.07463342635542158,0.9999865473033654,0.95,median,hdci,Class_Level,class
1,r.sq,0.14539511373190467,2.0489859413985606e-12,0.14539513961405923,0.5,median,hdci,Class_NumberOfExams,class
2,r.sq,0.21096920273648573,6.618660340253689e-11,0.21097040974076758,0.5,median,hdci,Class_NumberOfExams,class
1,r.sq,0.14539511373190467,2.0489859413985606e-12,0.776176408526478,0.95,median,hdci,Class_NumberOfExams,class
2,r.sq,0.21096920273648573,6.618660340253689e-11,0.6972624251242707,0.95,median,hdci,Class_NumberOfExams,class
1,r.sq,0.27813115371749164,4.758164000325552e-11,0.2781316865617878,0.5,median,hdci,Class_NumberOfTreatmentQuizzes,class
2,r.sq,0.5666562351248883,0.566651373962218,0.9999949125592441,0.5,median,hdci,Class_NumberOfTreatmentQuizzes,class
1,r.sq,0.27813115371749164,4.758164000325552e-11,0.8973149896535724,0.95,median,hdci,Class_NumberOfTreatmentQuizzes,class
2,r.sq,0.5666562351248883,4.5300773020212535e-10,0.9724415949767984,0.95,median,hdci,Class_NumberOfTreatmentQuizzes,class
1,r.sq,0.5448516130685186,0.5448470073778958,0.9999927884595405,0.5,median,hdci,Class_ProportionLecture,class
2,r.sq,0.14881723969373806,2.2975866913379536e-11,0.14881856296387758,0.5,median,hdci,Class_ProportionLecture,class
1,r.sq,0.5448516130685186,5.99743279805287e-12,0.9601210864468296,0.95,median,hdci,Class_ProportionLecture,class
2,r.sq,0.14881723969373806,2.2975866913379536e-11,0.7586269779718275,0.95,median,hdci,Class_ProportionLecture,class
1,r.sq,0.175296172193258,1.196548898587646e-13,0.17529723408574532,0.5,median,hdci,Class_QuizzesCombinedInOutcomeScores,class
2,r.sq,0.6323172833964426,0.6323140352092925,0.9999917380051621,0.5,median,hdci,Class_QuizzesCombinedInOutcomeScores,class
